cluster_id;strategy_id;symbol;timeframe;direction;signal_time;fill_time;close_time;entry;stop;target;exit;exit_reason;r_result;mfe_r;mae_r;bars_held;session
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1751602500|MSZZ|XAUUSD|5|0|1|1751558700|1751559000;1030;XAUUSD;PERIOD_M5;LONG;2025.07.04 04:15:00;2025.07.04 04:20:00;2025.07.07 03:04:58;3332.61000000;3325.87000000;3346.09000000;3325.87000000;SL;-1.0000;1.8531;-1.0059;848;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1751981100|MSZZ|XAUUSD|5|0|1|1751902500|1751902500;1030;XAUUSD;PERIOD_M5;LONG;2025.07.08 13:25:00;2025.07.08 13:30:00;2025.07.08 17:14:58;3323.45000000;3305.92000000;3358.51000000;3305.92000000;SL;-1.0000;0.3662;-1.0382;44;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1752006600|MSZZ|XAUUSD|5|0|-1|1751994300|1751994300;1030;XAUUSD;PERIOD_M5;SHORT;2025.07.08 20:30:00;2025.07.08 20:35:00;2025.07.10 09:24:57;3307.13000000;3326.85000000;3267.69000000;3326.85000000;SL;-1.0000;1.2378;-1.0791;441;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1752210000|MSZZ|XAUUSD|5|0|-1|1752206400|1752206400;1030;XAUUSD;PERIOD_M5;SHORT;2025.07.11 05:00:00;2025.07.11 05:05:00;2025.07.11 06:19:58;3327.25000000;3335.78000000;3310.19000000;3335.78000000;SL;-1.0000;0.0035;-1.0164;14;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1752603600|MSZZ|XAUUSD|5|0|-1|1752603300|1752603300;1030;XAUUSD;PERIOD_M5;SHORT;2025.07.15 18:20:00;2025.07.15 18:25:00;2025.07.16 18:19:58;3340.48000000;3369.09000000;3283.26000000;3369.09000000;SL;-1.0000;0.7295;-1.0388;286;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1752745200|MSZZ|XAUUSD|5|0|-1|1752683700|1752683700;1030;XAUUSD;PERIOD_M5;SHORT;2025.07.17 09:40:00;2025.07.17 09:45:00;2025.07.21 08:20:00;3329.12000000;3370.20000000;3246.96000000;3363.91000000;OTHER;-0.8469;0.4688;-0.8851;1135;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1753085700|MSZZ|XAUUSD|5|0|1|1753085400|1753085400;1030;XAUUSD;PERIOD_M5;LONG;2025.07.21 08:15:00;2025.07.21 08:20:00;2025.07.21 16:49:58;3363.91000000;3350.72000000;3390.29000000;3390.29000000;TP;2.0000;2.3745;-0.0857;101;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1754080200|MSZZ|XAUUSD|5|0|1|1754078100|1754078100;1030;XAUUSD;PERIOD_M5;LONG;2025.08.01 20:30:00;2025.08.01 20:35:00;2025.08.04 16:54:58;3348.49000000;3331.11000000;3383.25000000;3383.25000000;TP;2.0000;2.1208;-0.1974;819;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1754908200|MSZZ|XAUUSD|5|0|-1|1754484600|1754484600;1030;XAUUSD;PERIOD_M5;SHORT;2025.08.11 10:30:00;2025.08.11 10:35:00;2025.08.11 15:29:57;3362.23000000;3368.64000000;3349.41000000;3349.41000000;TP;2.0000;2.3229;-0.5585;58;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1754928000|MSZZ|XAUUSD|5|0|-1|1754921100|1754921100;1030;XAUUSD;PERIOD_M5;SHORT;2025.08.11 16:00:00;2025.08.11 16:05:00;2025.08.11 16:44:58;3353.99000000;3356.96000000;3348.05000000;3356.96000000;SL;-1.0000;1.8653;-1.4949;7;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1755034500|MSZZ|XAUUSD|5|0|-1|1755033900|1755034200;1030;XAUUSD;PERIOD_M5;SHORT;2025.08.12 21:35:00;2025.08.12 21:40:00;2025.08.12 23:25:00;3348.42000000;3350.57000000;3344.12000000;3348.33000000;OTHER;0.0419;1.3070;-0.5814;21;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1755040800|MSZZ|XAUUSD|5|0|1|1755035700|1755036300;1030;XAUUSD;PERIOD_M5;LONG;2025.08.12 23:20:00;2025.08.12 23:25:00;2025.08.13 03:19:57;3348.33000000;3345.61000000;3353.77000000;3345.61000000;SL;-1.0000;1.9963;-1.3125;46;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1755120000|MSZZ|XAUUSD|5|0|-1|1755118800|1755118800;1030;XAUUSD;PERIOD_M5;SHORT;2025.08.13 21:20:00;2025.08.13 21:25:00;2025.08.13 23:30:00;3350.97000000;3360.93000000;3331.05000000;3357.22000000;OTHER;-0.6275;0.0994;-0.7841;25;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1755127500|MSZZ|XAUUSD|5|0|1|1755123600|1755123600;1030;XAUUSD;PERIOD_M5;LONG;2025.08.13 23:25:00;2025.08.13 23:30:00;2025.08.14 02:34:57;3357.22000000;3355.00000000;3361.66000000;3361.66000000;TP;2.0000;2.2658;-0.7117;36;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1755145200|MSZZ|XAUUSD|5|0|-1|1754885100|1754885100;1030;XAUUSD;PERIOD_M5;SHORT;2025.08.14 04:20:00;2025.08.14 04:25:00;2025.08.19 13:10:00;3366.24000000;3404.29000000;3290.14000000;3341.86000000;OTHER;0.6407;1.1214;-0.1122;1545;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1755608700|MSZZ|XAUUSD|5|0|1|1755522900|1755522900;1030;XAUUSD;PERIOD_M5;LONG;2025.08.19 13:05:00;2025.08.19 13:10:00;2025.08.19 16:09:58;3341.86000000;3331.39000000;3362.80000000;3331.39000000;SL;-1.0000;0.3286;-1.0735;35;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1755716400|MSZZ|XAUUSD|5|0|1|1755715200|1755715200;1030;XAUUSD;PERIOD_M5;LONG;2025.08.20 19:00:00;2025.08.20 19:05:00;2025.08.21 21:00:00;3343.34000000;3323.84000000;3382.34000000;3337.03000000;OTHER;-0.3236;0.4477;-0.9313;311;NewYork
