strategy,family,window,regime_dimension,regime_value,sample_label,trades,wins,losses,win_rate,cumulative_r,expectancy_r,profit_factor_r,max_drawdown_r,average_mfe_r,average_mae_r,median_r,long_trades,long_expectancy_r,short_trades,short_expectancy_r,first_entry_time,last_exit_time
SlowBreakout,BREAKOUT,Full window,trend_strength,WEAK,STRONGER_DESCRIPTIVE_SAMPLE,255,87,168,0.341176,3.274900,0.012843,1.024683,16.539100,1.076260,-0.852326,-0.639700,133,0.113474,122,-0.096862,2025.03.18 22:00:00,2026.07.23 23:59:59
SlowBreakout,BREAKOUT,Full window,volatility,CONTRACTING,MODERATE_SAMPLE,75,14,61,0.186667,-21.590200,-0.287869,0.533680,27.714600,0.920956,-1.093289,-0.759000,37,-0.111400,38,-0.459695,2025.03.18 22:00:00,2026.07.21 04:20:00
SlowBreakout,BREAKOUT,Full window,volatility,EXPANDING,STRONGER_DESCRIPTIVE_SAMPLE,126,53,73,0.420635,22.135500,0.175679,1.381934,6.325400,1.399832,-0.730819,-0.281800,65,0.293797,61,0.049815,2025.03.06 13:30:00,2026.07.23 23:59:59
SlowBreakout,BREAKOUT,Full window,volatility,NORMAL,STRONGER_DESCRIPTIVE_SAMPLE,136,45,91,0.330882,-4.971700,-0.036557,0.930480,16.036100,1.069024,-0.896686,-0.688600,71,-0.004935,65,-0.071097,2025.03.03 01:00:00,2026.07.16 05:39:58
WeightedEnsemble,ENSEMBLE,Full window,alignment,FULLY_ALIGNED,MODERATE_SAMPLE,74,20,54,0.270270,-6.097800,-0.082403,0.853265,12.020000,0.989193,-0.824909,-0.646550,33,0.167876,41,-0.283846,2025.03.27 17:30:00,2026.07.16 05:44:57
WeightedEnsemble,ENSEMBLE,Full window,alignment,OPPOSED,STRONGER_DESCRIPTIVE_SAMPLE,142,57,85,0.401408,29.027600,0.204420,1.441207,8.739900,1.165074,-0.787828,-0.302450,74,0.316634,68,0.082304,2025.03.05 15:45:00,2026.07.21 04:39:58
WeightedEnsemble,ENSEMBLE,Full window,alignment,PARTIALLY_ALIGNED,EXPLORATORY,45,14,31,0.311111,-2.641800,-0.058707,0.898105,9.445200,1.224656,-1.010024,-0.750700,21,-0.437943,24,0.273125,2025.03.11 08:55:00,2026.07.10 07:25:00
WeightedEnsemble,ENSEMBLE,Full window,direction,BEARISH,STRONGER_DESCRIPTIVE_SAMPLE,128,44,84,0.343750,9.428200,0.073658,1.144186,11.219200,1.074002,-0.888566,-0.570950,50,0.074158,78,0.073337,2025.03.05 15:45:00,2026.07.21 04:10:00
WeightedEnsemble,ENSEMBLE,Full window,direction,BULLISH,STRONGER_DESCRIPTIVE_SAMPLE,133,47,86,0.353383,10.859800,0.081653,1.159973,9.671500,1.175023,-0.786689,-0.507600,78,0.205976,55,-0.094660,2025.03.11 06:25:00,2026.07.21 04:39:58
WeightedEnsemble,ENSEMBLE,Full window,market_phase,BREAKOUT,EXPLORATORY,40,12,28,0.300000,-3.601300,-0.090033,0.846424,10.855200,0.950070,-0.914340,-1.000000,22,-0.010141,18,-0.187678,2025.03.27 17:30:00,2026.07.16 05:44:57
WeightedEnsemble,ENSEMBLE,Full window,market_phase,COMPRESSION,INSUFFICIENT,14,5,9,0.357143,2.536700,0.181193,1.388588,4.272500,1.501686,-0.743129,-0.343100,7,0.044829,7,0.317557,2025.03.11 08:55:00,2026.07.21 04:10:00
WeightedEnsemble,ENSEMBLE,Full window,market_phase,PULLBACK,MODERATE_SAMPLE,61,27,34,0.442623,21.227700,0.347995,1.789110,4.159100,1.309816,-0.836149,-0.175500,31,0.316210,30,0.380840,2025.03.05 19:00:00,2026.07.21 04:39:58
WeightedEnsemble,ENSEMBLE,Full window,market_phase,TRANSITION,INSUFFICIENT,1,0,1,0.000000,-1.000000,-1.000000,0.000000,1.000000,0.163300,-1.387800,-1.000000,1,-1.000000,0,0.000000,2025.05.30 03:00:00,2025.05.30 03:14:58
WeightedEnsemble,ENSEMBLE,Full window,market_phase,TREND_CONTINUATION,EXPLORATORY,36,7,29,0.194444,-8.334800,-0.231522,0.596356,8.334800,0.889706,-0.774856,-0.640350,12,0.083800,24,-0.389183,2025.04.22 19:40:00,2026.05.22 21:04:58
WeightedEnsemble,ENSEMBLE,Full window,market_phase,UNCLASSIFIED,STRONGER_DESCRIPTIVE_SAMPLE,109,40,69,0.366972,9.459700,0.086786,1.172789,10.957900,1.125068,-0.835788,-0.505500,55,0.179549,54,-0.007694,2025.03.05 15:45:00,2026.07.16 04:20:00
WeightedEnsemble,ENSEMBLE,Full window,trend_strength,NORMAL,MODERATE_SAMPLE,60,26,34,0.433333,21.686600,0.361443,1.808221,4.307800,1.249297,-0.764767,-0.298000,26,0.554562,34,0.213765,2025.03.05 15:45:00,2026.07.21 04:39:58
WeightedEnsemble,ENSEMBLE,Full window,trend_strength,STRONG,INSUFFICIENT,11,3,8,0.272727,-1.267300,-0.115209,0.761009,2.623500,0.711055,-0.717282,-0.322000,7,-0.046000,4,-0.236325,2025.03.27 13:45:00,2026.07.15 20:35:00
WeightedEnsemble,ENSEMBLE,Full window,trend_strength,WEAK,STRONGER_DESCRIPTIVE_SAMPLE,190,62,128,0.326316,-0.131300,-0.000691,0.998702,19.674100,1.110373,-0.866263,-0.619550,95,0.059762,95,-0.061144,2025.03.05 17:05:00,2026.07.21 04:10:00
WeightedEnsemble,ENSEMBLE,Full window,volatility,CONTRACTING,EXPLORATORY,38,9,29,0.236842,-11.364700,-0.299071,0.515780,11.439700,0.884311,-0.952879,-0.960850,18,-0.068811,20,-0.506305,2025.03.11 08:55:00,2026.07.15 20:35:00
WeightedEnsemble,ENSEMBLE,Full window,volatility,EXPANDING,STRONGER_DESCRIPTIVE_SAMPLE,126,49,77,0.388889,27.164200,0.215589,1.467756,7.043400,1.159966,-0.773244,-0.306600,64,0.257228,62,0.172606,2025.03.05 15:45:00,2026.07.21 04:39:58
WeightedEnsemble,ENSEMBLE,Full window,volatility,NORMAL,MODERATE_SAMPLE,97,33,64,0.340206,4.488500,0.046273,1.086766,11.297500,1.175163,-0.873484,-0.639400,46,0.098913,51,-0.001206,2025.03.11 06:25:00,2026.07.21 04:10:00
