strategy,family,regime_dimension,regime_value,period,trades,cumulative_r,expectancy_r
SlowBreakout,BREAKOUT,direction,BEARISH,2025-Q2,25,-11.305400,-0.452216
SlowBreakout,BREAKOUT,direction,BEARISH,2025-Q3,43,-0.096200,-0.002237
SlowBreakout,BREAKOUT,direction,BEARISH,2025-Q4,34,1.722100,0.050650
SlowBreakout,BREAKOUT,direction,BEARISH,2026-Q1,17,0.786600,0.046271
SlowBreakout,BREAKOUT,direction,BEARISH,2026-Q2,37,-8.114200,-0.219303
SlowBreakout,BREAKOUT,direction,BEARISH,2026-Q3,6,2.910800,0.485133
SlowBreakout,BREAKOUT,direction,BULLISH,2025-Q1,6,-0.773400,-0.128900
SlowBreakout,BREAKOUT,direction,BULLISH,2025-Q2,25,-0.991800,-0.039672
SlowBreakout,BREAKOUT,direction,BULLISH,2025-Q3,31,9.374800,0.302413
SlowBreakout,BREAKOUT,direction,BULLISH,2025-Q4,45,-4.732800,-0.105173
SlowBreakout,BREAKOUT,direction,BULLISH,2026-Q1,26,-2.899100,-0.111504
SlowBreakout,BREAKOUT,direction,BULLISH,2026-Q2,27,5.234500,0.193870
SlowBreakout,BREAKOUT,direction,BULLISH,2026-Q3,7,1.099700,0.157100
SlowBreakout,BREAKOUT,market_phase,BREAKOUT,2025-Q2,1,-1.000000,-1.000000
SlowBreakout,BREAKOUT,market_phase,BREAKOUT,2025-Q4,2,-1.476100,-0.738050
SlowBreakout,BREAKOUT,market_phase,COMPRESSION,2025-Q2,2,-0.982900,-0.491450
SlowBreakout,BREAKOUT,market_phase,COMPRESSION,2025-Q3,1,2.000000,2.000000
SlowBreakout,BREAKOUT,market_phase,COMPRESSION,2026-Q1,2,-0.518800,-0.259400
SlowBreakout,BREAKOUT,market_phase,COMPRESSION,2026-Q2,3,-1.345600,-0.448533
SlowBreakout,BREAKOUT,market_phase,PULLBACK,2025-Q1,1,0.536900,0.536900
SlowBreakout,BREAKOUT,market_phase,PULLBACK,2025-Q2,11,-3.750400,-0.340945
SlowBreakout,BREAKOUT,market_phase,PULLBACK,2025-Q3,22,-0.342500,-0.015568
SlowBreakout,BREAKOUT,market_phase,PULLBACK,2025-Q4,19,2.693600,0.141768
SlowBreakout,BREAKOUT,market_phase,PULLBACK,2026-Q1,1,-0.156500,-0.156500
SlowBreakout,BREAKOUT,market_phase,PULLBACK,2026-Q2,11,-1.831400,-0.166491
SlowBreakout,BREAKOUT,market_phase,PULLBACK,2026-Q3,3,0.658900,0.219633
SlowBreakout,BREAKOUT,market_phase,TRANSITION,2025-Q2,2,-1.527800,-0.763900
SlowBreakout,BREAKOUT,market_phase,TRANSITION,2026-Q1,1,-1.000000,-1.000000
SlowBreakout,BREAKOUT,market_phase,TREND_CONTINUATION,2025-Q1,1,2.000000,2.000000
SlowBreakout,BREAKOUT,market_phase,TREND_CONTINUATION,2025-Q2,11,-1.667100,-0.151555
SlowBreakout,BREAKOUT,market_phase,TREND_CONTINUATION,2025-Q3,19,4.607400,0.242495
SlowBreakout,BREAKOUT,market_phase,TREND_CONTINUATION,2025-Q4,25,-0.070700,-0.002828
SlowBreakout,BREAKOUT,market_phase,TREND_CONTINUATION,2026-Q1,20,-5.467100,-0.273355
SlowBreakout,BREAKOUT,market_phase,TREND_CONTINUATION,2026-Q2,14,-0.684100,-0.048864
SlowBreakout,BREAKOUT,market_phase,TREND_CONTINUATION,2026-Q3,2,1.676200,0.838100
SlowBreakout,BREAKOUT,market_phase,UNCLASSIFIED,2025-Q1,12,0.047700,0.003975
SlowBreakout,BREAKOUT,market_phase,UNCLASSIFIED,2025-Q2,23,-3.369000,-0.146478
SlowBreakout,BREAKOUT,market_phase,UNCLASSIFIED,2025-Q3,32,3.013700,0.094178
SlowBreakout,BREAKOUT,market_phase,UNCLASSIFIED,2025-Q4,33,-4.157500,-0.125985
SlowBreakout,BREAKOUT,market_phase,UNCLASSIFIED,2026-Q1,19,5.029900,0.264732
SlowBreakout,BREAKOUT,market_phase,UNCLASSIFIED,2026-Q2,36,0.981400,0.027261
SlowBreakout,BREAKOUT,market_phase,UNCLASSIFIED,2026-Q3,8,1.675400,0.209425
SlowBreakout,BREAKOUT,trend_strength,NORMAL,2025-Q1,2,1.000000,0.500000
SlowBreakout,BREAKOUT,trend_strength,NORMAL,2025-Q2,9,0.000000,0.000000
SlowBreakout,BREAKOUT,trend_strength,NORMAL,2025-Q3,17,1.561800,0.091871
SlowBreakout,BREAKOUT,trend_strength,NORMAL,2025-Q4,12,-3.835100,-0.319592
SlowBreakout,BREAKOUT,trend_strength,NORMAL,2026-Q1,9,-7.388500,-0.820944
SlowBreakout,BREAKOUT,trend_strength,NORMAL,2026-Q2,19,0.503000,0.026474
SlowBreakout,BREAKOUT,trend_strength,NORMAL,2026-Q3,3,0.676200,0.225400
SlowBreakout,BREAKOUT,trend_strength,STRONG,2025-Q1,2,-1.418200,-0.709100
SlowBreakout,BREAKOUT,trend_strength,STRONG,2025-Q2,3,-1.196000,-0.398667
SlowBreakout,BREAKOUT,trend_strength,STRONG,2025-Q3,1,2.000000,2.000000
SlowBreakout,BREAKOUT,trend_strength,STRONG,2025-Q4,1,0.233100,0.233100
SlowBreakout,BREAKOUT,trend_strength,STRONG,2026-Q1,2,1.118100,0.559050
SlowBreakout,BREAKOUT,trend_strength,STRONG,2026-Q2,1,0.044300,0.044300
SlowBreakout,BREAKOUT,trend_strength,STRONG,2026-Q3,1,-1.000000,-1.000000
SlowBreakout,BREAKOUT,trend_strength,WEAK,2025-Q1,10,3.002800,0.300280
SlowBreakout,BREAKOUT,trend_strength,WEAK,2025-Q2,38,-11.101200,-0.292137
SlowBreakout,BREAKOUT,trend_strength,WEAK,2025-Q3,56,5.716800,0.102086
SlowBreakout,BREAKOUT,trend_strength,WEAK,2025-Q4,66,0.591300,0.008959
SlowBreakout,BREAKOUT,trend_strength,WEAK,2026-Q1,32,4.157900,0.129934
SlowBreakout,BREAKOUT,trend_strength,WEAK,2026-Q2,44,-3.427000,-0.077886
SlowBreakout,BREAKOUT,trend_strength,WEAK,2026-Q3,9,4.334300,0.481589
SlowBreakout,BREAKOUT,volatility,CONTRACTING,2025-Q1,6,2.739500,0.456583
SlowBreakout,BREAKOUT,volatility,CONTRACTING,2025-Q2,9,-6.273100,-0.697011
SlowBreakout,BREAKOUT,volatility,CONTRACTING,2025-Q3,13,-5.366600,-0.412815
SlowBreakout,BREAKOUT,volatility,CONTRACTING,2025-Q4,20,-6.927200,-0.346360
SlowBreakout,BREAKOUT,volatility,CONTRACTING,2026-Q1,6,-5.241300,-0.873550
SlowBreakout,BREAKOUT,volatility,CONTRACTING,2026-Q2,17,-1.116600,-0.065682
SlowBreakout,BREAKOUT,volatility,CONTRACTING,2026-Q3,4,0.595100,0.148775
SlowBreakout,BREAKOUT,volatility,EXPANDING,2025-Q1,3,-2.760700,-0.920233
SlowBreakout,BREAKOUT,volatility,EXPANDING,2025-Q2,16,8.012000,0.500750
SlowBreakout,BREAKOUT,volatility,EXPANDING,2025-Q3,36,8.324100,0.231225
SlowBreakout,BREAKOUT,volatility,EXPANDING,2025-Q4,21,3.033800,0.144467
SlowBreakout,BREAKOUT,volatility,EXPANDING,2026-Q1,18,2.633100,0.146283
SlowBreakout,BREAKOUT,volatility,EXPANDING,2026-Q2,25,0.477800,0.019112
SlowBreakout,BREAKOUT,volatility,EXPANDING,2026-Q3,7,2.415400,0.345057
SlowBreakout,BREAKOUT,volatility,NORMAL,2025-Q1,5,2.605800,0.521160
SlowBreakout,BREAKOUT,volatility,NORMAL,2025-Q2,25,-14.036100,-0.561444
SlowBreakout,BREAKOUT,volatility,NORMAL,2025-Q3,25,6.321100,0.252844
SlowBreakout,BREAKOUT,volatility,NORMAL,2025-Q4,38,0.882700,0.023229
SlowBreakout,BREAKOUT,volatility,NORMAL,2026-Q1,19,0.495700,0.026089
SlowBreakout,BREAKOUT,volatility,NORMAL,2026-Q2,22,-2.240900,-0.101859
SlowBreakout,BREAKOUT,volatility,NORMAL,2026-Q3,2,1.000000,0.500000
WeightedEnsemble,ENSEMBLE,alignment,FULLY_ALIGNED,2025-Q1,1,2.000000,2.000000
WeightedEnsemble,ENSEMBLE,alignment,FULLY_ALIGNED,2025-Q2,18,-5.858600,-0.325478
WeightedEnsemble,ENSEMBLE,alignment,FULLY_ALIGNED,2025-Q3,13,7.780800,0.598523
WeightedEnsemble,ENSEMBLE,alignment,FULLY_ALIGNED,2025-Q4,13,-4.806300,-0.369715
WeightedEnsemble,ENSEMBLE,alignment,FULLY_ALIGNED,2026-Q1,21,-3.120400,-0.148590
WeightedEnsemble,ENSEMBLE,alignment,FULLY_ALIGNED,2026-Q2,6,-3.093300,-0.515550
WeightedEnsemble,ENSEMBLE,alignment,FULLY_ALIGNED,2026-Q3,2,1.000000,0.500000
WeightedEnsemble,ENSEMBLE,alignment,OPPOSED,2025-Q1,14,8.438100,0.602721
WeightedEnsemble,ENSEMBLE,alignment,OPPOSED,2025-Q2,26,3.741500,0.143904
WeightedEnsemble,ENSEMBLE,alignment,OPPOSED,2025-Q3,25,4.144400,0.165776
WeightedEnsemble,ENSEMBLE,alignment,OPPOSED,2025-Q4,24,0.162600,0.006775
WeightedEnsemble,ENSEMBLE,alignment,OPPOSED,2026-Q1,12,11.523700,0.960308
WeightedEnsemble,ENSEMBLE,alignment,OPPOSED,2026-Q2,33,2.798000,0.084788
WeightedEnsemble,ENSEMBLE,alignment,OPPOSED,2026-Q3,8,-1.780700,-0.222587
WeightedEnsemble,ENSEMBLE,alignment,PARTIALLY_ALIGNED,2025-Q1,2,-2.000000,-1.000000
WeightedEnsemble,ENSEMBLE,alignment,PARTIALLY_ALIGNED,2025-Q2,8,-2.997700,-0.374713
WeightedEnsemble,ENSEMBLE,alignment,PARTIALLY_ALIGNED,2025-Q3,7,-3.026000,-0.432286
WeightedEnsemble,ENSEMBLE,alignment,PARTIALLY_ALIGNED,2025-Q4,12,2.290300,0.190858
WeightedEnsemble,ENSEMBLE,alignment,PARTIALLY_ALIGNED,2026-Q1,4,2.000000,0.500000
WeightedEnsemble,ENSEMBLE,alignment,PARTIALLY_ALIGNED,2026-Q2,11,0.387800,0.035255
WeightedEnsemble,ENSEMBLE,alignment,PARTIALLY_ALIGNED,2026-Q3,1,0.703800,0.703800
WeightedEnsemble,ENSEMBLE,direction,BEARISH,2025-Q1,9,1.438100,0.159789
WeightedEnsemble,ENSEMBLE,direction,BEARISH,2025-Q2,20,0.577500,0.028875
