strategy,family,window,regime_dimension,regime_value,sample_label,trades,wins,losses,win_rate,cumulative_r,expectancy_r,profit_factor_r,max_drawdown_r,average_mfe_r,average_mae_r,median_r,long_trades,long_expectancy_r,short_trades,short_expectancy_r,first_entry_time,last_exit_time
MedSlowContext,CONTEXT,Validation,volatility,NORMAL,EXPLORATORY,43,12,31,0.279070,-8.069900,-0.187672,0.689118,11.069900,1.038902,-0.871495,-1.000000,18,-0.481556,25,0.023924,2026.01.21 03:00:00,2026.04.27 08:34:58
MediumBreakout,BREAKOUT,Development,alignment,FULLY_ALIGNED,MODERATE_SAMPLE,68,22,46,0.323529,-2.838600,-0.041744,0.923884,13.056200,0.906746,-0.940816,-0.652950,38,0.107558,30,-0.230860,2025.03.05 09:20:00,2025.12.29 22:40:00
MediumBreakout,BREAKOUT,Development,alignment,OPPOSED,STRONGER_DESCRIPTIVE_SAMPLE,188,60,128,0.319149,-14.446300,-0.076842,0.858588,28.503600,0.971881,-0.813642,-0.639200,98,-0.000853,90,-0.159586,2025.03.04 11:25:00,2025.12.30 14:25:00
MediumBreakout,BREAKOUT,Development,alignment,PARTIALLY_ALIGNED,MODERATE_SAMPLE,60,19,41,0.316667,-5.592200,-0.093203,0.834691,15.891700,0.911758,-0.799530,-0.768200,26,-0.071146,34,-0.110071,2025.03.05 05:45:00,2025.12.30 16:49:58
MediumBreakout,BREAKOUT,Development,direction,BEARISH,STRONGER_DESCRIPTIVE_SAMPLE,142,44,98,0.309859,-11.641200,-0.081980,0.848673,33.150300,0.945030,-0.807469,-0.623550,60,0.092557,82,-0.209690,2025.03.04 11:25:00,2025.12.30 16:49:58
MediumBreakout,BREAKOUT,Development,direction,BULLISH,STRONGER_DESCRIPTIVE_SAMPLE,174,57,117,0.327586,-11.235900,-0.064574,0.883388,15.105700,0.947607,-0.863514,-0.685350,102,-0.033329,72,-0.108838,2025.03.24 01:00:00,2025.12.30 01:19:58
MediumBreakout,BREAKOUT,Development,market_phase,BREAKOUT,INSUFFICIENT,4,1,3,0.250000,-2.124500,-0.531125,0.128410,2.437500,0.438475,-0.745675,-0.718750,4,-0.531125,0,0.000000,2025.03.27 17:30:00,2025.12.10 05:15:00
MediumBreakout,BREAKOUT,Development,market_phase,COMPRESSION,INSUFFICIENT,4,2,2,0.500000,1.217000,0.304250,2.107673,1.000000,0.834500,-0.458500,0.108500,2,0.500000,2,0.108500,2025.05.12 06:25:00,2025.08.12 21:00:00
MediumBreakout,BREAKOUT,Development,market_phase,PULLBACK,STRONGER_DESCRIPTIVE_SAMPLE,101,33,68,0.326733,-10.334000,-0.102317,0.814094,21.541500,0.955921,-0.859919,-0.712500,43,-0.107579,58,-0.098416,2025.03.04 16:30:00,2025.12.30 14:25:00
MediumBreakout,BREAKOUT,Development,market_phase,TRANSITION,INSUFFICIENT,4,1,3,0.250000,-2.070900,-0.517725,0.072551,2.232900,0.617775,-0.703675,-0.616450,1,-1.000000,3,-0.356967,2025.04.03 19:55:00,2025.07.18 05:15:00
MediumBreakout,BREAKOUT,Development,market_phase,TREND_CONTINUATION,MODERATE_SAMPLE,53,17,36,0.320755,-3.316100,-0.062568,0.887428,8.823800,0.875043,-0.994396,-0.666200,32,0.142947,21,-0.375733,2025.03.05 09:20:00,2025.12.29 22:40:00
MediumBreakout,BREAKOUT,Development,market_phase,UNCLASSIFIED,STRONGER_DESCRIPTIVE_SAMPLE,150,47,103,0.313333,-6.248600,-0.041657,0.924228,21.402800,0.990597,-0.784839,-0.623550,80,0.054124,70,-0.151121,2025.03.04 11:25:00,2025.12.30 16:49:58
MediumBreakout,BREAKOUT,Development,trend_strength,NORMAL,MODERATE_SAMPLE,58,14,44,0.241379,-10.718500,-0.184802,0.665204,15.011100,0.873348,-0.780002,-0.634900,32,-0.162409,26,-0.212362,2025.03.04 11:25:00,2025.12.29 22:40:00
MediumBreakout,BREAKOUT,Development,trend_strength,STRONG,INSUFFICIENT,9,4,5,0.444444,1.414900,0.157211,1.282980,4.000000,1.014356,-0.727700,-1.000000,6,0.735817,3,-1.000000,2025.03.25 17:05:00,2025.12.22 17:59:58
MediumBreakout,BREAKOUT,Development,trend_strength,WEAK,STRONGER_DESCRIPTIVE_SAMPLE,249,83,166,0.333333,-13.573500,-0.054512,0.900389,34.909800,0.961022,-0.855914,-0.672300,124,0.023677,125,-0.132076,2025.03.04 21:35:00,2025.12.30 16:49:58
MediumBreakout,BREAKOUT,Development,volatility,CONTRACTING,MODERATE_SAMPLE,81,22,59,0.271605,-11.508000,-0.142074,0.752244,20.495300,0.875638,-0.825659,-0.738900,37,-0.192111,44,-0.099998,2025.03.04 23:15:00,2025.12.30 01:19:58
