regime_direction,trend_strength,volatility_state,alignment_state,market_phase,bar_count,bar_pct_of_window,trade_count,expectancy_r,total_r,trades_per_1000_bars
BEARISH,NORMAL,NORMAL,FULLY_ALIGNED,BREAKOUT,9,0.0091,3,-1.0,-3.0,333.3333
BULLISH,STRONG,NORMAL,PARTIALLY_ALIGNED,UNCLASSIFIED,8,0.0081,0,,,0.0
BEARISH,STRONG,NORMAL,OPPOSED,PULLBACK,8,0.0081,0,,,0.0
BEARISH,NORMAL,EXPANDING,FULLY_ALIGNED,BREAKOUT,6,0.0061,3,1.2169,3.6507,500.0
BULLISH,WEAK,CONTRACTING,FULLY_ALIGNED,BREAKOUT,6,0.0061,1,-1.0,-1.0,166.6667
BEARISH,STRONG,CONTRACTING,OPPOSED,UNCLASSIFIED,6,0.0061,0,,,0.0
BULLISH,WEAK,NORMAL,PARTIALLY_ALIGNED,BREAKOUT,5,0.0051,2,-0.7257,-1.4515,400.0
BULLISH,NORMAL,EXPANDING,PARTIALLY_ALIGNED,TRANSITION,4,0.004,0,,,0.0
BEARISH,STRONG,CONTRACTING,FULLY_ALIGNED,COMPRESSION,4,0.004,0,,,0.0
BEARISH,NORMAL,CONTRACTING,PARTIALLY_ALIGNED,COMPRESSION,3,0.003,0,,,0.0
BULLISH,NORMAL,CONTRACTING,PARTIALLY_ALIGNED,COMPRESSION,3,0.003,0,,,0.0
BEARISH,STRONG,EXPANDING,PARTIALLY_ALIGNED,UNCLASSIFIED,3,0.003,1,-1.0,-1.0,333.3333
BULLISH,WEAK,EXPANDING,PARTIALLY_ALIGNED,BREAKOUT,3,0.003,2,-0.8753,-1.7507,666.6667
BEARISH,NORMAL,EXPANDING,PARTIALLY_ALIGNED,BREAKOUT,3,0.003,0,,,0.0
BEARISH,WEAK,EXPANDING,PARTIALLY_ALIGNED,BREAKOUT,3,0.003,1,-0.5184,-0.5184,333.3333
BULLISH,NORMAL,EXPANDING,FULLY_ALIGNED,BREAKOUT,3,0.003,1,0.9247,0.9247,333.3333
BEARISH,NORMAL,CONTRACTING,FULLY_ALIGNED,BREAKOUT,2,0.002,0,,,0.0
BEARISH,STRONG,CONTRACTING,PARTIALLY_ALIGNED,UNCLASSIFIED,2,0.002,0,,,0.0
BEARISH,STRONG,NORMAL,OPPOSED,COMPRESSION,2,0.002,0,,,0.0
BEARISH,NORMAL,EXPANDING,PARTIALLY_ALIGNED,TRANSITION,2,0.002,0,,,0.0
BULLISH,STRONG,NORMAL,PARTIALLY_ALIGNED,TRANSITION,2,0.002,0,,,0.0
BULLISH,WEAK,CONTRACTING,PARTIALLY_ALIGNED,BREAKOUT,2,0.002,1,-1.0,-1.0,500.0
BULLISH,STRONG,CONTRACTING,PARTIALLY_ALIGNED,TRANSITION,1,0.001,0,,,0.0
BULLISH,NORMAL,EXPANDING,PARTIALLY_ALIGNED,BREAKOUT,1,0.001,1,-0.2882,-0.2882,1000.0
BEARISH,STRONG,CONTRACTING,OPPOSED,COMPRESSION,1,0.001,0,,,0.0
BULLISH,STRONG,NORMAL,FULLY_ALIGNED,BREAKOUT,1,0.001,1,-0.322,-0.322,1000.0
BULLISH,NORMAL,CONTRACTING,PARTIALLY_ALIGNED,BREAKOUT,1,0.001,1,-1.0,-1.0,1000.0
BEARISH,STRONG,NORMAL,FULLY_ALIGNED,BREAKOUT,1,0.001,0,,,0.0
BEARISH,WEAK,CONTRACTING,PARTIALLY_ALIGNED,BREAKOUT,1,0.001,0,,,0.0
BULLISH,STRONG,EXPANDING,FULLY_ALIGNED,BREAKOUT,1,0.001,0,,,0.0
