cluster_id,cluster_origin_id,consumed_event_id,rejected_event_id,consumed_signal_time,rejected_signal_time,minutes_after_consumed_signal,first_trade_close_time,after_first_trade_close,d032_accepted_as_trade,exact_event_duplicate,event_identity_class,execution_eligibility_class,audit_verdict
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251208,ASIA_LOW|20251208,SSRP|ASIA_LOW|20251208|1765214100|FINAL,SSRP|ASIA_LOW|20251208|1765218000|FINAL,2025.12.08 17:20:00,2025.12.08 18:25:00,65,2025.12.09 08:09:58,false,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251208,ASIA_LOW|20251208,SSRP|ASIA_LOW|20251208|1765214100|FINAL,SSRP|ASIA_LOW|20251208|1765221000|FINAL,2025.12.08 17:20:00,2025.12.08 19:25:00,125,2025.12.09 08:09:58,false,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251208,ASIA_LOW|20251208,SSRP|ASIA_LOW|20251208|1765214100|FINAL,SSRP|ASIA_LOW|20251208|1765222800|FINAL,2025.12.08 17:20:00,2025.12.08 19:45:00,145,2025.12.09 08:09:58,false,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251208,ASIA_LOW|20251208,SSRP|ASIA_LOW|20251208|1765214100|FINAL,SSRP|ASIA_LOW|20251208|1765223100|FINAL,2025.12.08 17:20:00,2025.12.08 19:50:00,150,2025.12.09 08:09:58,false,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251208,ASIA_LOW|20251208,SSRP|ASIA_LOW|20251208|1765214100|FINAL,SSRP|ASIA_LOW|20251208|1765232700|FINAL,2025.12.08 17:20:00,2025.12.08 22:30:00,310,2025.12.09 08:09:58,false,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251208,ASIA_LOW|20251208,SSRP|ASIA_LOW|20251208|1765214100|FINAL,SSRP|ASIA_LOW|20251208|1765233000|FINAL,2025.12.08 17:20:00,2025.12.08 22:35:00,315,2025.12.09 08:09:58,false,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251208,ASIA_LOW|20251208,SSRP|ASIA_LOW|20251208|1765214100|FINAL,SSRP|ASIA_LOW|20251208|1765234500|FINAL,2025.12.08 17:20:00,2025.12.08 23:00:00,340,2025.12.09 08:09:58,false,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251208,ASIA_LOW|20251208,SSRP|ASIA_LOW|20251208|1765214100|FINAL,SSRP|ASIA_LOW|20251208|1765235700|FINAL,2025.12.08 17:20:00,2025.12.08 23:20:00,360,2025.12.09 08:09:58,false,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251209,ASIA_LOW|20251209,SSRP|ASIA_LOW|20251209|1765268400|FINAL,SSRP|ASIA_LOW|20251209|1765268700|FINAL,2025.12.09 08:25:00,2025.12.09 08:30:00,5,2025.12.09 10:14:58,false,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251209,ASIA_LOW|20251209,SSRP|ASIA_LOW|20251209|1765268400|FINAL,SSRP|ASIA_LOW|20251209|1765269000|FINAL,2025.12.09 08:25:00,2025.12.09 08:35:00,10,2025.12.09 10:14:58,false,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
