research_signal,production_candidate,eligible_candidate,cluster,execution_intent,order,position,entry_deal,exit_deal,closed_strategybook_trade,reported_r,recomputed_r,final_status,classification
SSR|ASIA_LOW|20250306|1741284900|FINAL,SSRP|ASIA_LOW|20250306|1741284900|FINAL,true,MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250306,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_LOW|20250306|1741293600|FINAL,SSRP|ASIA_LOW|20250306|1741293600|FINAL,true,MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250306,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_LOW|20250306|1741293900|FINAL,SSRP|ASIA_LOW|20250306|1741293900|FINAL,true,MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250306,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_LOW|20250306|1741296000|FINAL,SSRP|ASIA_LOW|20250306|1741296000|FINAL,true,MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250306,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_LOW|20250306|1741297500|FINAL,SSRP|ASIA_LOW|20250306|1741297500|FINAL,true,MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250306,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_LOW|20250306|1741298100|FINAL,SSRP|ASIA_LOW|20250306|1741298100|FINAL,true,MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250306,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_LOW|20250306|1741298400|FINAL,SSRP|ASIA_LOW|20250306|1741298400|FINAL,true,MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250306,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250307|1741336200|FINAL,SSRP|ASIA_HIGH|20250307|1741336200|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250307,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250307,10,10,10,11,true,-1.0000,-1.0,EXECUTED,broker-executed
SSR|ASIA_HIGH|20250307|1741336800|FINAL,SSRP|ASIA_HIGH|20250307|1741336800|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250307,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250307|1741338000|FINAL,SSRP|ASIA_HIGH|20250307|1741338000|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250307,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250307|1741338300|FINAL,SSRP|ASIA_HIGH|20250307|1741338300|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250307,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250307|1741339200|FINAL,SSRP|ASIA_HIGH|20250307|1741339200|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250307,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250307|1741360200|FINAL,SSRP|ASIA_HIGH|20250307|1741360200|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250307,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250307|1741360800|FINAL,SSRP|ASIA_HIGH|20250307|1741360800|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250307,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250307|1741362600|FINAL,SSRP|ASIA_HIGH|20250307|1741362600|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250307,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250307|1741368900|FINAL,SSRP|ASIA_HIGH|20250307|1741368900|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250307,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250307|1741373100|FINAL,SSRP|ASIA_HIGH|20250307|1741373100|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250307,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250307|1741374600|FINAL,SSRP|ASIA_HIGH|20250307|1741374600|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250307,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
