logical_position_id,position_ticket,entry_deal_count,exit_deal_count,entry_volume,exit_volume,weighted_exit_price,reported_exit_price,reported_r,portfolio_reported_r,recomputed_r,volume_match,weighted_exit_match,r_match
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250930,344,1,1,0.43,0.43000000,3870.13000000,3870.13,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250930,346,1,1,0.21,0.21000000,3852.63000000,3852.63,2.0000,2.0,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251001,348,1,1,0.28,0.28000000,3879.52000000,3879.5200000000004,2.0000,2.000000000000052,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251001,350,1,1,0.31,0.31000000,3859.25000000,3859.2500000000005,2.0000,1.999999999999943,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251002,352,1,1,0.58,0.58000000,3871.55000000,3871.5499999999997,-1.0000,-0.9999999999998945,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251002,354,1,1,0.4,0.40000000,3850.30000000,3850.3,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251003,356,1,1,1.02,1.02000000,3865.40000000,3865.4,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251006,358,1,1,0.2,0.20000000,3945.46000000,3945.4600000000005,-1.0000,-1.0000000000000377,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251007,360,1,1,0.31,0.31000000,3974.94000000,3974.9400000000005,1.9988,1.9987515605494564,1.99875156,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251007,362,1,1,0.27,0.27000000,3983.58000000,3983.58,-1.0000,-1.0,-1.00000000,true,true,true
