replay_mode;strategy_id;exit_model;cluster_id;direction;entry_time;exit_time;exit_reason;entry_price;initial_stop;initial_risk;gross_r;net_r_after_costs;mfe_until_exit_r;mae_until_exit_r;mfe_reference_horizon_r;mae_reference_horizon_r;bars_to_mfe;minutes_to_mfe;bars_held;minutes_held;surrender_r;pct_open_trade_mfe_captured;pct_reference_horizon_mfe_captured;number_of_trail_updates;final_stop;replay_price_mode;session;weekday;sequencing_ambiguous;skipped_while_occupied
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1778772000|MSZZ|XAUUSD|5|0|1|1778771700|1778771700;L;2026.05.14 15:25:00;2026.05.14 16:25:00;SL;4705.91000;4689.53000;16.38000;-1.0000;-1.0200;0.2491;-1.0904;0.2491;-15.4048;2;10;13;60;1.2691;-4.0950;-4.0950;0;4689.53000;MSZZ_AMBIG_PESSIMISTIC;London;Thursday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1778772600|MSZZ|XAUUSD|5|0|1|1778771700|1778771700;L;2026.05.14 15:35:00;2026.05.14 16:25:00;SL;4706.05000;4689.53000;16.52000;-1.0000;-1.0200;0.2385;-1.0896;0.2385;-15.2827;0;0;11;50;1.2585;-4.2768;-4.2768;0;4689.53000;MSZZ_AMBIG_PESSIMISTIC;London;Thursday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1778774400|MSZZ|XAUUSD|5|0|-1|1778773200|1778773200;S;2026.05.14 16:05:00;2026.05.14 16:30:00;TP;4697.44000;4704.85000;7.41000;2.0000;1.9800;2.0904;-0.9879;32.9096;-0.9879;981;8040;6;25;0.1104;0.9472;0.0602;0;4704.85000;MSZZ_AMBIG_PESSIMISTIC;NewYork;Thursday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1778775900|MSZZ|XAUUSD|5|0|-1|1778775300|1778775300;S;2026.05.14 16:30:00;2026.05.14 22:40:00;TP;4688.52000;4704.85000;16.33000;2.0000;1.9800;2.0153;-0.7551;14.3870;-0.7551;976;8015;75;370;0.0353;0.9825;0.1376;0;4704.85000;MSZZ_AMBIG_PESSIMISTIC;NewYork;Thursday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1778777400|MSZZ|XAUUSD|5|0|-1|1778775300|1778775300;S;2026.05.14 16:55:00;2026.05.14 23:35:00;TP;4685.16000;4704.85000;19.69000;2.0000;1.9800;2.0660;-0.7969;11.7613;-0.7969;971;7990;81;400;0.0860;0.9584;0.1683;0;4704.85000;MSZZ_AMBIG_PESSIMISTIC;NewYork;Thursday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1778799300|MSZZ|XAUUSD|5|0|-1|1778559900|1778559900;S;2026.05.14 23:00:00;2026.05.15 04:05:00;TP;4654.24000;4676.44000;22.20000;2.0000;1.9800;2.0005;-0.5014;9.0387;-0.5014;898;7625;50;305;0.0205;0.9898;0.2191;0;4676.44000;MSZZ_AMBIG_PESSIMISTIC;NewYork;Thursday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1779478500|MSZZ|XAUUSD|5|0|-1|1779467700|1779467700;S;2026.05.22 19:40:00;2026.05.22 20:30:00;SL;4519.56000;4526.76000;7.20000;-1.0000;-1.0200;1.0042;-1.1611;21.2569;-10.4931;927;7900;11;50;2.0242;-1.0158;-0.0480;0;4526.76000;MSZZ_AMBIG_PESSIMISTIC;NewYork;Friday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1779488400|MSZZ|XAUUSD|5|0|-1|1779487200|1779487200;S;2026.05.22 22:25:00;2026.05.25 01:00:00;SL;4507.82000;4520.31000;12.49000;-1.0000;-1.0200;0.2922;-3.5685;11.3139;-6.9888;894;7735;20;3035;1.3122;-3.4904;-0.0902;0;4520.31000;MSZZ_AMBIG_PESSIMISTIC;NewYork;Friday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1779489900|MSZZ|XAUUSD|5|0|-1|1779487200|1779487200;S;2026.05.22 22:50:00;2026.05.25 01:00:00;SL;4507.88000;4520.31000;12.43000;-1.0000;-1.0200;0.2985;-3.5809;11.3733;-7.0177;889;7710;15;3010;1.3185;-3.4174;-0.0897;0;4520.31000;MSZZ_AMBIG_PESSIMISTIC;NewYork;Friday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1779490800|MSZZ|XAUUSD|5|0|-1|1779487200|1779487200;S;2026.05.22 23:05:00;2026.05.25 01:00:00;SL;4506.21000;4520.31000;14.10000;-1.0000;-1.0200;0.1447;-3.2752;9.9078;-6.3050;886;7695;12;2995;1.1647;-7.0500;-0.1029;0;4520.31000;MSZZ_AMBIG_PESSIMISTIC;NewYork;Friday;false;false
