logical_position_id;book_id;strategy_id;family_id;magic;direction;entry_time;exit_time;entry_price;exit_price;logical_volume;initial_risk_price;execution_cost;realized_r;exit_policy;exit_reason;regime_snapshot_id
MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1743091800|1743091800;2;1050;4;27124002;LONG;2025.03.27 17:25:00;2025.03.28 04:34:58;3049.75;3068.25;0.27;9.25;0.0;2.0;2;BROKER_SL_TP_OR_TEST_END;2025.03.28 04:25:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1743781800|MSZZ|XAUUSD|5|0|-1|1743780900|1743780900;1;1010;1;27084001;SHORT;2025.04.04 15:55:00;2025.04.10 03:30:00;3070.38;3096.3300000000004;0.05;44.48999999999978;0.0;-0.5832771409305552;1;OWN_FAMILY_OPPOSITE;2025.04.10 03:25:00
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1744255500|MSZZ|XAUUSD|5|0|1|1744255200|1744255200;1;1010;1;27084001;LONG;2025.04.10 03:30:00;2025.04.10 04:39:58;3096.33;3081.36;0.17;14.9699999999998;0.0;-1.0;1;BROKER_SL_TP_OR_TEST_END;2025.04.10 04:30:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1744255200|1744255200;2;1050;4;27124002;SHORT;2025.04.10 04:05:00;2025.04.10 04:39:58;3093.26;3078.66;0.35;7.299999999999727;0.0;2.000000000000125;2;BROKER_SL_TP_OR_TEST_END;2025.04.10 04:30:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1744261800|1744261800;2;1050;4;27124002;SHORT;2025.04.10 05:20:00;2025.04.10 05:25:00;3111.47;3114.01;0.45;5.680000000000291;0.0;-0.44718309859160005;2;OWN_FAMILY_OPPOSITE;2025.04.10 05:20:00
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1744262400|MSZZ|XAUUSD|5|0|1|1744261800|1744261800;1;1010;1;27084001;LONG;2025.04.10 05:25:00;2025.04.11 11:24:58;3114.01;3220.75;0.07;35.58000000000038;0.0;2.999999999999962;1;BROKER_SL_TP_OR_TEST_END;2025.04.11 11:15:00
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1745365800|MSZZ|XAUUSD|5|0|1|1744742100|1744742400;1;1010;1;27084001;LONG;2025.04.22 23:55:00;2025.04.24 06:35:00;3382.18;3323.12;0.01;165.27999999999975;0.0;-0.3573330106485965;1;OWN_FAMILY_OPPOSITE;2025.04.24 06:30:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1745476200|MSZZ|XAUUSD|5|0|-1|1744759200|1744759500;1;1010;1;27084001;SHORT;2025.04.24 06:35:00;2025.04.24 17:45:00;3323.12;3326.65;0.05;44.289999999999964;0.0;-0.07970196432603754;1;OWN_FAMILY_OPPOSITE;2025.04.24 17:40:00
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1745516400|MSZZ|XAUUSD|5|0|1|1745502900|1745502900;1;1010;1;27084001;LONG;2025.04.24 17:45:00;2025.04.24 18:05:00;3326.65;3322.58;0.58;4.440000000000055;0.0;-0.9166666666666923;1;OWN_FAMILY_OPPOSITE;2025.04.24 18:00:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1745517600|MSZZ|XAUUSD|5|0|-1|1745511600|1745511600;1;1010;1;27084001;SHORT;2025.04.24 18:05:00;2025.04.24 18:10:00;3322.58;3325.35;0.11;22.050000000000182;0.0;-0.12562358276643804;1;OWN_FAMILY_OPPOSITE;2025.04.24 18:05:00
