strategy_id;family_id;setup_name;signal_time;expiry_time;direction;entry;stop;target;score;origin_id;event_id;reason;canonical_variant_id;hypothesis_version;regime_id;session_id;reference_level_type;structural_context;stop_distance_points;target_r;spread_to_risk_ratio
1200;8;Session Sweep Reversal;2025.03.05 16:10:00;2025.03.05 16:25:00;LONG;2902.32;2899.04;2908.89;7.0000;ASIA_LOW|20250305;SSR|ASIA_LOW|20250305|1741190400|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.05 16:10:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2918.75000;asian_low=2902.06000;sweep_extreme=2899.29000;328.37;2.0000;0.015227
1202;10;Break-Retest Continuation;2025.03.05 16:15:00;2025.03.05 16:30:00;SHORT;2901.73;2906.61;2891.97;7.0000;BO|XAUUSD|5|1|S|1741189200|MSZZ|XAUUSD|5|1|-1|1741188600|1741188600;BRC|BO|XAUUSD|5|1|S|1741189200|MSZZ|XAUUSD|5|1|-1|1741188600|1741188600|1741189200|FINAL;confirmed medium-structure break, frozen-window retest, close through rejection bar extreme;BRC-CANON-1;D031v1;2025.03.05 16:15:00;NewYork;MEDIUM_SWING_HIGH_LOW;break_level=2906.42194;bars_since_break=7;488.00;2.0000;0.012295
1200;8;Session Sweep Reversal;2025.03.05 16:20:00;2025.03.05 16:35:00;LONG;2903.39;2897.38;2915.41;7.0000;ASIA_LOW|20250305;SSR|ASIA_LOW|20250305|1741191300|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.05 16:20:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2918.75000;asian_low=2902.06000;sweep_extreme=2897.64000;600.86;2.0000;0.016643
1200;8;Session Sweep Reversal;2025.03.05 17:10:00;2025.03.05 17:25:00;SHORT;2916.89;2921.97;2906.73;7.0000;ASIA_HIGH|20250305;SSR|ASIA_HIGH|20250305|1741194300|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.05 17:10:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2918.75000;asian_low=2902.06000;sweep_extreme=2921.73000;508.01;2.0000;0.009842
1202;10;Break-Retest Continuation;2025.03.05 17:20:00;2025.03.05 17:35:00;LONG;2919.21;2915.50;2926.63;7.0000;BO|XAUUSD|5|1|L|1741194300|MSZZ|XAUUSD|5|1|1|1741192800|1741194000;BRC|BO|XAUUSD|5|1|L|1741194300|MSZZ|XAUUSD|5|1|1|1741192800|1741194000|1741194300|FINAL;confirmed medium-structure break, frozen-window retest, close through rejection bar extreme;BRC-CANON-1;D031v1;2025.03.05 17:20:00;NewYork;MEDIUM_SWING_HIGH_LOW;break_level=2917.21714;bars_since_break=3;371.00;2.0000;0.018868
1200;8;Session Sweep Reversal;2025.03.05 17:25:00;2025.03.05 17:40:00;SHORT;2918.30;2920.13;2914.64;7.0000;ASIA_HIGH|20250305;SSR|ASIA_HIGH|20250305|1741195200|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.05 17:25:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2918.75000;asian_low=2902.06000;sweep_extreme=2919.91000;183.24;2.0000;0.027287
1204;12;Trend Pullback;2025.03.05 17:30:00;2025.03.05 17:45:00;LONG;2920.09;2915.05;2930.18;7.0000;MSZZ|XAUUSD|5|0|-1|1741194000|1741194000;TP|MSZZ|XAUUSD|5|0|-1|1741194000|1741194000|1741195500|FINAL;established trend, correct side of VWAP, bounded pullback, close through pullback micro-structure;TP-CANON-1;D031v1;2025.03.05 17:30:00;NewYork;SESSION_VWAP;value_at_arm=2913.29931;pullback_depth_frac=0.000;504.26;2.0000;0.009916
1200;8;Session Sweep Reversal;2025.03.05 17:50:00;2025.03.05 18:05:00;SHORT;2917.78;2923.99;2905.36;7.0000;ASIA_HIGH|20250305;SSR|ASIA_HIGH|20250305|1741196100|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.05 17:50:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2918.75000;asian_low=2902.06000;sweep_extreme=2923.77000;621.00;2.0000;0.009662
1200;8;Session Sweep Reversal;2025.03.05 17:55:00;2025.03.05 18:10:00;SHORT;2917.20;2920.66;2910.28;7.0000;ASIA_HIGH|20250305;SSR|ASIA_HIGH|20250305|1741197000|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.05 17:55:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2918.75000;asian_low=2902.06000;sweep_extreme=2920.44000;345.78;2.0000;0.023136
1200;8;Session Sweep Reversal;2025.03.05 19:20:00;2025.03.05 19:35:00;SHORT;2918.08;2922.62;2908.99;7.0000;ASIA_HIGH|20250305;SSR|ASIA_HIGH|20250305|1741201800|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.05 19:20:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2918.75000;asian_low=2902.06000;sweep_extreme=2922.46000;454.38;2.0000;0.022008
