strategy,feature,bucket,operator,threshold,canonical,trades,cumulative_r,expectancy_r,note
FastMedContext,normalized_atr,EXPANDING,gt,1.25,false,105,20.877600,0.198834,offline entry-time sensitivity; classifier and executions unchanged
FastMedContext,directional_efficiency,WEAK,lt,0.30,false,151,13.891600,0.091997,offline entry-time sensitivity; classifier and executions unchanged
FastMedContext,directional_efficiency,WEAK,lt,0.35,true,166,3.396000,0.020458,offline entry-time sensitivity; classifier and executions unchanged
FastMedContext,directional_efficiency,WEAK,lt,0.40,false,177,5.933300,0.033521,offline entry-time sensitivity; classifier and executions unchanged
FastMedContext,directional_efficiency,STRONG,gt,0.60,false,12,-2.069200,-0.172433,offline entry-time sensitivity; classifier and executions unchanged
FastMedContext,directional_efficiency,STRONG,gt,0.65,true,11,-1.069200,-0.097200,offline entry-time sensitivity; classifier and executions unchanged
FastMedContext,directional_efficiency,STRONG,gt,0.70,false,7,0.054500,0.007786,offline entry-time sensitivity; classifier and executions unchanged
FastMedContext,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.30,false,34,2.778900,0.081732,offline entry-time sensitivity; classifier and executions unchanged
FastMedContext,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.35,true,48,9.651900,0.201081,offline entry-time sensitivity; classifier and executions unchanged
FastMedContext,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.40,false,59,7.961900,0.134947,offline entry-time sensitivity; classifier and executions unchanged
MedSlowContext,normalized_atr,CONTRACTING,lt,0.75,false,68,-7.174900,-0.105513,offline entry-time sensitivity; classifier and executions unchanged
MedSlowContext,normalized_atr,CONTRACTING,lt,0.80,true,97,-10.141000,-0.104546,offline entry-time sensitivity; classifier and executions unchanged
MedSlowContext,normalized_atr,CONTRACTING,lt,0.85,false,115,-3.271500,-0.028448,offline entry-time sensitivity; classifier and executions unchanged
MedSlowContext,normalized_atr,EXPANDING,gt,1.15,false,189,16.102400,0.085198,offline entry-time sensitivity; classifier and executions unchanged
MedSlowContext,normalized_atr,EXPANDING,gt,1.20,true,174,15.885200,0.091294,offline entry-time sensitivity; classifier and executions unchanged
MedSlowContext,normalized_atr,EXPANDING,gt,1.25,false,154,2.116800,0.013745,offline entry-time sensitivity; classifier and executions unchanged
MedSlowContext,directional_efficiency,WEAK,lt,0.30,false,297,-4.730800,-0.015929,offline entry-time sensitivity; classifier and executions unchanged
MedSlowContext,directional_efficiency,WEAK,lt,0.35,true,325,-4.066300,-0.012512,offline entry-time sensitivity; classifier and executions unchanged
MedSlowContext,directional_efficiency,WEAK,lt,0.40,false,344,-2.670800,-0.007764,offline entry-time sensitivity; classifier and executions unchanged
MedSlowContext,directional_efficiency,STRONG,gt,0.60,false,23,8.252200,0.358791,offline entry-time sensitivity; classifier and executions unchanged
MedSlowContext,directional_efficiency,STRONG,gt,0.65,true,16,7.714900,0.482181,offline entry-time sensitivity; classifier and executions unchanged
MedSlowContext,directional_efficiency,STRONG,gt,0.70,false,9,4.610400,0.512267,offline entry-time sensitivity; classifier and executions unchanged
MedSlowContext,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.30,false,43,8.328300,0.193681,offline entry-time sensitivity; classifier and executions unchanged
MedSlowContext,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.35,true,58,11.872500,0.204698,offline entry-time sensitivity; classifier and executions unchanged
MedSlowContext,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.40,false,76,9.821500,0.129230,offline entry-time sensitivity; classifier and executions unchanged
NestedPullback,normalized_atr,CONTRACTING,lt,0.75,false,18,-5.329300,-0.296072,offline entry-time sensitivity; classifier and executions unchanged
NestedPullback,normalized_atr,CONTRACTING,lt,0.80,true,21,-8.329300,-0.396633,offline entry-time sensitivity; classifier and executions unchanged
NestedPullback,normalized_atr,CONTRACTING,lt,0.85,false,25,-5.343600,-0.213744,offline entry-time sensitivity; classifier and executions unchanged
NestedPullback,normalized_atr,EXPANDING,gt,1.15,false,76,9.252900,0.121749,offline entry-time sensitivity; classifier and executions unchanged
NestedPullback,normalized_atr,EXPANDING,gt,1.20,true,69,8.554200,0.123974,offline entry-time sensitivity; classifier and executions unchanged
NestedPullback,normalized_atr,EXPANDING,gt,1.25,false,65,6.554200,0.100834,offline entry-time sensitivity; classifier and executions unchanged
NestedPullback,directional_efficiency,WEAK,lt,0.30,false,88,3.780100,0.042956,offline entry-time sensitivity; classifier and executions unchanged
NestedPullback,directional_efficiency,WEAK,lt,0.35,true,98,-0.612700,-0.006252,offline entry-time sensitivity; classifier and executions unchanged
NestedPullback,directional_efficiency,WEAK,lt,0.40,false,104,-2.992400,-0.028773,offline entry-time sensitivity; classifier and executions unchanged
NestedPullback,directional_efficiency,STRONG,gt,0.60,false,6,-2.745600,-0.457600,offline entry-time sensitivity; classifier and executions unchanged
NestedPullback,directional_efficiency,STRONG,gt,0.65,true,5,-1.745600,-0.349120,offline entry-time sensitivity; classifier and executions unchanged
NestedPullback,directional_efficiency,STRONG,gt,0.70,false,4,-0.745600,-0.186400,offline entry-time sensitivity; classifier and executions unchanged
NestedPullback,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.30,false,15,-7.344100,-0.489607,offline entry-time sensitivity; classifier and executions unchanged
NestedPullback,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.35,true,19,-6.640300,-0.349489,offline entry-time sensitivity; classifier and executions unchanged
NestedPullback,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.40,false,28,-3.837700,-0.137061,offline entry-time sensitivity; classifier and executions unchanged
WeightedEnsemble,normalized_atr,CONTRACTING,lt,0.75,false,29,-4.453900,-0.153583,offline entry-time sensitivity; classifier and executions unchanged
WeightedEnsemble,normalized_atr,CONTRACTING,lt,0.80,true,38,-11.364700,-0.299071,offline entry-time sensitivity; classifier and executions unchanged
WeightedEnsemble,normalized_atr,CONTRACTING,lt,0.85,false,52,-12.190100,-0.234425,offline entry-time sensitivity; classifier and executions unchanged
WeightedEnsemble,normalized_atr,EXPANDING,gt,1.15,false,138,29.515600,0.213881,offline entry-time sensitivity; classifier and executions unchanged
WeightedEnsemble,normalized_atr,EXPANDING,gt,1.20,true,126,27.164200,0.215589,offline entry-time sensitivity; classifier and executions unchanged
WeightedEnsemble,normalized_atr,EXPANDING,gt,1.25,false,119,21.333000,0.179269,offline entry-time sensitivity; classifier and executions unchanged
WeightedEnsemble,directional_efficiency,WEAK,lt,0.30,false,170,12.564100,0.073906,offline entry-time sensitivity; classifier and executions unchanged
WeightedEnsemble,directional_efficiency,WEAK,lt,0.35,true,190,-0.131300,-0.000691,offline entry-time sensitivity; classifier and executions unchanged
WeightedEnsemble,directional_efficiency,WEAK,lt,0.40,false,201,2.711900,0.013492,offline entry-time sensitivity; classifier and executions unchanged
WeightedEnsemble,directional_efficiency,STRONG,gt,0.60,false,12,-2.267300,-0.188942,offline entry-time sensitivity; classifier and executions unchanged
WeightedEnsemble,directional_efficiency,STRONG,gt,0.65,true,11,-1.267300,-0.115209,offline entry-time sensitivity; classifier and executions unchanged
WeightedEnsemble,directional_efficiency,STRONG,gt,0.70,false,7,0.054500,0.007786,offline entry-time sensitivity; classifier and executions unchanged
WeightedEnsemble,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.30,false,34,2.671800,0.078582,offline entry-time sensitivity; classifier and executions unchanged
WeightedEnsemble,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.35,true,48,11.248600,0.234346,offline entry-time sensitivity; classifier and executions unchanged
WeightedEnsemble,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.40,false,62,9.262600,0.149397,offline entry-time sensitivity; classifier and executions unchanged
AlignedFastPullback,normalized_atr,CONTRACTING,lt,0.75,false,18,-12.289200,-0.682733,offline entry-time sensitivity; classifier and executions unchanged
AlignedFastPullback,normalized_atr,CONTRACTING,lt,0.80,true,22,-12.271000,-0.557773,offline entry-time sensitivity; classifier and executions unchanged
AlignedFastPullback,normalized_atr,CONTRACTING,lt,0.85,false,29,-16.271000,-0.561069,offline entry-time sensitivity; classifier and executions unchanged
AlignedFastPullback,normalized_atr,EXPANDING,gt,1.15,false,50,10.109000,0.202180,offline entry-time sensitivity; classifier and executions unchanged
AlignedFastPullback,normalized_atr,EXPANDING,gt,1.20,true,39,2.529500,0.064859,offline entry-time sensitivity; classifier and executions unchanged
AlignedFastPullback,normalized_atr,EXPANDING,gt,1.25,false,37,3.761500,0.101662,offline entry-time sensitivity; classifier and executions unchanged
AlignedFastPullback,directional_efficiency,WEAK,lt,0.30,false,65,-9.477600,-0.145809,offline entry-time sensitivity; classifier and executions unchanged
AlignedFastPullback,directional_efficiency,WEAK,lt,0.35,true,77,-9.051300,-0.117549,offline entry-time sensitivity; classifier and executions unchanged
AlignedFastPullback,directional_efficiency,WEAK,lt,0.40,false,81,-10.051300,-0.124090,offline entry-time sensitivity; classifier and executions unchanged
AlignedFastPullback,directional_efficiency,STRONG,gt,0.60,false,5,-3.981800,-0.796360,offline entry-time sensitivity; classifier and executions unchanged
AlignedFastPullback,directional_efficiency,STRONG,gt,0.65,true,5,-3.981800,-0.796360,offline entry-time sensitivity; classifier and executions unchanged
