origin_id,event_id,direction,arm_time,prior_terminal_state,prior_terminal_time,same_bar_as_prior_terminal,price_crossed_back_inside_before_this_arm,fresh_threshold_crossing_occurred,classification
SSRP|ASIA_LOW|20251125|1764068100,SSRP|ASIA_LOW|20251125|1764068100|FINAL,LONG,2025.11.25 10:55:00,INVALIDATED,2025.11.25 10:55:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251125|1764081600,SSRP|ASIA_LOW|20251125|1764081600|FINAL,LONG,2025.11.25 14:40:00,TRIGGERED,2025.11.25 11:05:00,false,true,true,FRESH_CROSS_AFTER_NEUTRAL_RESET
SSRP|ASIA_LOW|20251125|1764082200,SSRP|ASIA_LOW|20251125|1764082200|FINAL,LONG,2025.11.25 14:50:00,TRIGGERED,2025.11.25 14:50:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251125|1764089100,SSRP|ASIA_LOW|20251125|1764089100|FINAL,LONG,2025.11.25 16:45:00,INVALIDATED,2025.11.25 16:45:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251125|1764089700,SSRP|ASIA_LOW|20251125|1764089700|FINAL,LONG,2025.11.25 16:55:00,TRIGGERED,2025.11.25 16:55:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251125|1764090300,SSRP|ASIA_LOW|20251125|1764090300|FINAL,LONG,2025.11.25 17:05:00,TRIGGERED,2025.11.25 17:05:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251125|1764093300,SSRP|ASIA_LOW|20251125|1764093300|FINAL,LONG,2025.11.25 17:55:00,TRIGGERED,2025.11.25 17:10:00,false,true,true,FRESH_CROSS_AFTER_NEUTRAL_RESET
SSRP|ASIA_HIGH|20251125|1764099000,SSRP|ASIA_HIGH|20251125|1764099000|FINAL,SHORT,2025.11.25 19:30:00,NONE,,false,true,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_HIGH|20251125|1764099300,SSRP|ASIA_HIGH|20251125|1764099300|FINAL,SHORT,2025.11.25 19:35:00,TRIGGERED,2025.11.25 19:35:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251126|1764164400,SSRP|ASIA_HIGH|20251126|1764164400|FINAL,SHORT,2025.11.26 13:40:00,INVALIDATED,2025.11.26 13:40:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251126|1764164700,SSRP|ASIA_HIGH|20251126|1764164700|FINAL,SHORT,2025.11.26 13:45:00,TRIGGERED,2025.11.26 13:45:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251126|1764165600,SSRP|ASIA_HIGH|20251126|1764165600|FINAL,SHORT,2025.11.26 14:00:00,INVALIDATED,2025.11.26 14:00:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251126|1764165900,SSRP|ASIA_HIGH|20251126|1764165900|FINAL,SHORT,2025.11.26 14:05:00,TRIGGERED,2025.11.26 14:05:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251126|1764167100,SSRP|ASIA_HIGH|20251126|1764167100|FINAL,SHORT,2025.11.26 14:25:00,TRIGGERED,2025.11.26 14:25:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251126|1764187800,SSRP|ASIA_HIGH|20251126|1764187800|FINAL,SHORT,2025.11.26 20:10:00,INVALIDATED,2025.11.26 20:10:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251126|1764188400,SSRP|ASIA_HIGH|20251126|1764188400|FINAL,SHORT,2025.11.26 20:20:00,TRIGGERED,2025.11.26 20:20:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251126|1764192000,SSRP|ASIA_HIGH|20251126|1764192000|FINAL,SHORT,2025.11.26 21:20:00,TRIGGERED,2025.11.26 20:25:00,false,true,true,FRESH_CROSS_AFTER_NEUTRAL_RESET
SSRP|ASIA_LOW|20251128|1764326400,SSRP|ASIA_LOW|20251128|1764326400|FINAL,LONG,2025.11.28 10:40:00,NONE,,false,true,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_LOW|20251128|1764328500,SSRP|ASIA_LOW|20251128|1764328500|FINAL,LONG,2025.11.28 11:15:00,TRIGGERED,2025.11.28 10:45:00,false,true,true,FRESH_CROSS_AFTER_NEUTRAL_RESET
SSRP|ASIA_LOW|20251128|1764329400,SSRP|ASIA_LOW|20251128|1764329400|FINAL,LONG,2025.11.28 11:30:00,TRIGGERED,2025.11.28 11:30:00,true,false,true,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251128|1764348900,SSRP|ASIA_HIGH|20251128|1764348900|FINAL,SHORT,2025.11.28 16:55:00,INVALIDATED,2025.11.28 16:55:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251201|1764591000,SSRP|ASIA_HIGH|20251201|1764591000|FINAL,SHORT,2025.12.01 12:10:00,INVALIDATED,2025.12.01 12:10:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251201|1764591600,SSRP|ASIA_HIGH|20251201|1764591600|FINAL,SHORT,2025.12.01 12:20:00,TRIGGERED,2025.12.01 12:20:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251201|1764593100,SSRP|ASIA_HIGH|20251201|1764593100|FINAL,SHORT,2025.12.01 12:45:00,TRIGGERED,2025.12.01 12:25:00,false,true,true,FRESH_CROSS_AFTER_NEUTRAL_RESET
SSRP|ASIA_HIGH|20251201|1764593700,SSRP|ASIA_HIGH|20251201|1764593700|FINAL,SHORT,2025.12.01 12:55:00,TRIGGERED,2025.12.01 12:50:00,false,false,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_HIGH|20251201|1764596400,SSRP|ASIA_HIGH|20251201|1764596400|FINAL,SHORT,2025.12.01 13:40:00,TRIGGERED,2025.12.01 13:00:00,false,true,true,FRESH_CROSS_AFTER_NEUTRAL_RESET
SSRP|ASIA_HIGH|20251201|1764596700,SSRP|ASIA_HIGH|20251201|1764596700|FINAL,SHORT,2025.12.01 13:45:00,TRIGGERED,2025.12.01 13:45:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251201|1764603600,SSRP|ASIA_HIGH|20251201|1764603600|FINAL,SHORT,2025.12.01 15:40:00,INVALIDATED,2025.12.01 15:40:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251201|1764604200,SSRP|ASIA_HIGH|20251201|1764604200|FINAL,SHORT,2025.12.01 15:50:00,TRIGGERED,2025.12.01 15:50:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251202|1764675300,SSRP|ASIA_LOW|20251202|1764675300|FINAL,LONG,2025.12.02 11:35:00,NONE,,false,true,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_LOW|20251202|1764676200,SSRP|ASIA_LOW|20251202|1764676200|FINAL,LONG,2025.12.02 11:50:00,TRIGGERED,2025.12.02 11:50:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251202|1764681000,SSRP|ASIA_LOW|20251202|1764681000|FINAL,LONG,2025.12.02 13:10:00,INVALIDATED,2025.12.02 13:10:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251202|1764681600,SSRP|ASIA_LOW|20251202|1764681600|FINAL,LONG,2025.12.02 13:20:00,TRIGGERED,2025.12.02 13:20:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251202|1764702600,SSRP|ASIA_LOW|20251202|1764702600|FINAL,LONG,2025.12.02 19:10:00,INVALIDATED,2025.12.02 19:10:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251202|1764702900,SSRP|ASIA_LOW|20251202|1764702900|FINAL,LONG,2025.12.02 19:15:00,TRIGGERED,2025.12.02 19:15:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251202|1764706500,SSRP|ASIA_LOW|20251202|1764706500|FINAL,LONG,2025.12.02 20:15:00,TRIGGERED,2025.12.02 19:20:00,false,true,true,FRESH_CROSS_AFTER_NEUTRAL_RESET
SSRP|ASIA_LOW|20251202|1764708300,SSRP|ASIA_LOW|20251202|1764708300|FINAL,LONG,2025.12.02 20:45:00,INVALIDATED,2025.12.02 20:45:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251202|1764708900,SSRP|ASIA_LOW|20251202|1764708900|FINAL,LONG,2025.12.02 20:55:00,TRIGGERED,2025.12.02 20:55:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251203|1764754200,SSRP|ASIA_LOW|20251203|1764754200|FINAL,LONG,2025.12.03 09:30:00,NONE,,false,true,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_LOW|20251203|1764764400,SSRP|ASIA_LOW|20251203|1764764400|FINAL,LONG,2025.12.03 12:20:00,INVALIDATED,2025.12.03 12:20:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251203|1764764700,SSRP|ASIA_LOW|20251203|1764764700|FINAL,LONG,2025.12.03 12:25:00,TRIGGERED,2025.12.03 12:25:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251203|1764767400,SSRP|ASIA_LOW|20251203|1764767400|FINAL,LONG,2025.12.03 13:10:00,INVALIDATED,2025.12.03 13:10:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251203|1764768000,SSRP|ASIA_LOW|20251203|1764768000|FINAL,LONG,2025.12.03 13:20:00,TRIGGERED,2025.12.03 13:20:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251203|1764777600,SSRP|ASIA_HIGH|20251203|1764777600|FINAL,SHORT,2025.12.03 16:00:00,INVALIDATED,2025.12.03 16:00:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251203|1764777900,SSRP|ASIA_HIGH|20251203|1764777900|FINAL,SHORT,2025.12.03 16:05:00,TRIGGERED,2025.12.03 16:05:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251203|1764778500,SSRP|ASIA_HIGH|20251203|1764778500|FINAL,SHORT,2025.12.03 16:15:00,TRIGGERED,2025.12.03 16:10:00,false,false,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_HIGH|20251203|1764779700,SSRP|ASIA_HIGH|20251203|1764779700|FINAL,SHORT,2025.12.03 16:35:00,INVALIDATED,2025.12.03 16:35:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251203|1764780000,SSRP|ASIA_HIGH|20251203|1764780000|FINAL,SHORT,2025.12.03 16:40:00,TRIGGERED,2025.12.03 16:40:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251203|1764788100,SSRP|ASIA_LOW|20251203|1764788100|FINAL,LONG,2025.12.03 18:55:00,TRIGGERED,2025.12.03 13:25:00,false,true,true,FRESH_CROSS_AFTER_NEUTRAL_RESET
SSRP|ASIA_LOW|20251203|1764788400,SSRP|ASIA_LOW|20251203|1764788400|FINAL,LONG,2025.12.03 19:00:00,TRIGGERED,2025.12.03 19:00:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251203|1764793200,SSRP|ASIA_LOW|20251203|1764793200|FINAL,LONG,2025.12.03 20:20:00,INVALIDATED,2025.12.03 20:20:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251203|1764793800,SSRP|ASIA_LOW|20251203|1764793800|FINAL,LONG,2025.12.03 20:30:00,TRIGGERED,2025.12.03 20:30:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251203|1764794100,SSRP|ASIA_LOW|20251203|1764794100|FINAL,LONG,2025.12.03 20:35:00,TRIGGERED,2025.12.03 20:35:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251203|1764795300,SSRP|ASIA_LOW|20251203|1764795300|FINAL,LONG,2025.12.03 20:55:00,INVALIDATED,2025.12.03 20:55:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251203|1764796500,SSRP|ASIA_LOW|20251203|1764796500|FINAL,LONG,2025.12.03 21:15:00,TRIGGERED,2025.12.03 21:15:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251204|1764872100,SSRP|ASIA_HIGH|20251204|1764872100|FINAL,SHORT,2025.12.04 18:15:00,NONE,,false,true,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_HIGH|20251204|1764872700,SSRP|ASIA_HIGH|20251204|1764872700|FINAL,SHORT,2025.12.04 18:25:00,TRIGGERED,2025.12.04 18:25:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251204|1764877800,SSRP|ASIA_HIGH|20251204|1764877800|FINAL,SHORT,2025.12.04 19:50:00,TRIGGERED,2025.12.04 18:30:00,false,true,true,FRESH_CROSS_AFTER_NEUTRAL_RESET
SSRP|ASIA_HIGH|20251204|1764878100,SSRP|ASIA_HIGH|20251204|1764878100|FINAL,SHORT,2025.12.04 19:55:00,TRIGGERED,2025.12.04 19:55:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251204|1764878400,SSRP|ASIA_HIGH|20251204|1764878400|FINAL,SHORT,2025.12.04 20:00:00,TRIGGERED,2025.12.04 20:00:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251205|1764931500,SSRP|ASIA_HIGH|20251205|1764931500|FINAL,SHORT,2025.12.05 10:45:00,INVALIDATED,2025.12.05 10:45:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251205|1764931800,SSRP|ASIA_HIGH|20251205|1764931800|FINAL,SHORT,2025.12.05 10:50:00,TRIGGERED,2025.12.05 10:50:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251205|1764932100,SSRP|ASIA_HIGH|20251205|1764932100|FINAL,SHORT,2025.12.05 10:55:00,TRIGGERED,2025.12.05 10:55:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251205|1764932400,SSRP|ASIA_HIGH|20251205|1764932400|FINAL,SHORT,2025.12.05 11:00:00,TRIGGERED,2025.12.05 11:00:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251205|1764957900,SSRP|ASIA_HIGH|20251205|1764957900|FINAL,SHORT,2025.12.05 18:05:00,INVALIDATED,2025.12.05 18:05:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251205|1764958200,SSRP|ASIA_HIGH|20251205|1764958200|FINAL,SHORT,2025.12.05 18:10:00,TRIGGERED,2025.12.05 18:10:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251205|1764976500,SSRP|ASIA_LOW|20251205|1764976500|FINAL,LONG,2025.12.05 23:15:00,NONE,,false,true,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_LOW|20251205|1764976800,SSRP|ASIA_LOW|20251205|1764976800|FINAL,LONG,2025.12.05 23:20:00,TRIGGERED,2025.12.05 23:20:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251205|1764977700,SSRP|ASIA_LOW|20251205|1764977700|FINAL,LONG,2025.12.05 23:35:00,TRIGGERED,2025.12.05 23:25:00,false,true,true,FRESH_CROSS_AFTER_NEUTRAL_RESET
SSRP|ASIA_LOW|20251205|1764978300,SSRP|ASIA_LOW|20251205|1764978300|FINAL,LONG,2025.12.05 23:45:00,TRIGGERED,2025.12.05 23:45:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20251205|1764978600,SSRP|ASIA_LOW|20251205|1764978600|FINAL,LONG,2025.12.05 23:50:00,TRIGGERED,2025.12.05 23:50:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20251208|1765180800,SSRP|ASIA_HIGH|20251208|1765180800|FINAL,SHORT,2025.12.08 08:00:00,NONE,,false,true,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_HIGH|20251208|1765181100,SSRP|ASIA_HIGH|20251208|1765181100|FINAL,SHORT,2025.12.08 08:05:00,TRIGGERED,2025.12.08 08:05:00,true,false,false,SAME_TRIGGER_BAR_REARM
