logical_position_id,position_ticket,entry_deal_count,exit_deal_count,entry_volume,exit_volume,weighted_exit_price,reported_exit_price,reported_r,recomputed_r,volume_match,weighted_exit_match,r_match
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20260313|1773400800,1224,1,1,0.14,0.14000000,5112.86000000,5112.86,1.999428571428559,1.99942857,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260316|1773652500,1226,1,1,0.3,0.30000000,5011.09000000,5011.09,1.999999999999892,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260316|1773678900,1228,1,1,0.41,0.41000000,5034.86000000,5034.86,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260316|1773680400,1230,1,1,0.24,0.24000000,5006.61000000,5006.61,2.0,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260317|1773735300,1232,1,1,0.32,0.32000000,5020.01000000,5020.01,2.000000000000111,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20260317|1773754800,1234,1,1,0.39,0.39000000,5011.38000000,5011.38,2.0000000000001377,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20260317|1773772800,1236,1,1,0.11,0.11000000,4972.79000000,4972.79,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20260323|1774274400,1238,1,1,0.01,0.01000000,4684.46000000,4684.46,2.0000720824623452,2.00007208,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260401|1775037300,1240,1,1,0.23,0.23000000,4733.81000000,4733.81,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260401|1775040000,1242,1,1,0.13,0.13000000,4742.16000000,4742.16,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260401|1775058600,1244,1,1,0.15,0.15000000,4737.64000000,4737.64,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20260402|1775148600,1246,1,1,0.08,0.08000000,4628.58000000,4628.58,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260406|1775473200,1248,1,1,0.26,0.26000000,4694.82000000,4694.82,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260406|1775486100,1250,1,1,0.27,0.27000000,4666.65000000,4666.65,2.000000000000097,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260406|1775494800,1252,1,1,0.12,0.12000000,4691.46000000,4691.46,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260406|1775496600,1254,1,1,0.18,0.18000000,4656.09000000,4656.09,2.0,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260407|1775565300,1256,1,1,0.15,0.15000000,4632.10000000,4632.1,2.000000000000052,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260407|1775575200,1258,1,1,0.52,0.52000000,4655.90000000,4655.9,2.000000000000179,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20260407|1775581500,1260,1,1,0.17,0.17000000,4651.77000000,4651.77,2.0006706908116114,2.00067069,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260407|1775592300,1262,1,1,0.15,0.15000000,4673.57000000,4673.57,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260407|1775598300,1264,1,1,0.17,0.17000000,4680.46000000,4680.46,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20260408|1775685900,1266,1,1,0.15,0.15000000,4698.88000000,4698.88,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20260410|1775821500,1268,1,1,0.24,0.24000000,4762.72000000,4762.72,2.000000000000084,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260410|1775842500,1270,1,1,0.25,0.25000000,4760.25000000,4760.25,2.0,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260413|1776070500,1272,1,1,0.55,0.55000000,4730.98000000,4730.98,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260413|1776071400,1274,1,1,0.54,0.54000000,4732.20000000,4732.2,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260413|1776072300,1276,1,1,0.45,0.45000000,4732.95000000,4732.95,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260413|1776074400,1278,1,1,0.21,0.21000000,4739.09000000,4739.09,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260413|1776079800,1280,1,1,0.17,0.17000000,4736.66000000,4736.66,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260413|1776097800,1282,1,1,0.25,0.25000000,4737.71000000,4737.71,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260413|1776098700,1284,1,1,0.14,0.14000000,4745.39000000,4745.39,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260413|1776114000,1286,1,1,0.31,0.31000000,4733.29000000,4733.29,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20260414|1776161700,1288,1,1,0.13,0.13000000,4791.78000000,4791.78,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20260415|1776242100,1290,1,1,0.49,0.49000000,4812.29000000,4812.29,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20260415|1776245400,1292,1,1,0.27,0.27000000,4810.92000000,4810.92,-1.0,-1.00000000,true,true,true
