logical_position_id,position_ticket,entry_deal_count,exit_deal_count,entry_volume,exit_volume,weighted_exit_price,reported_exit_price,reported_r,portfolio_reported_r,recomputed_r,volume_match,weighted_exit_match,r_match
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251119|1763574300,1000,1,1,0.12,0.12000000,4052.97000000,4052.97,2.0000,2.0000000000000235,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251120|1763634000,1002,1,1,0.28,0.28000000,4062.75000000,4062.75,1.9988,1.9987775061123871,1.99877751,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251121|1763720100,1004,1,1,0.25,0.25000000,4060.98000000,4060.98,2.0000,2.0000000000000497,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251121|1763727000,1006,1,1,0.32,0.32000000,4034.96000000,4034.96,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251121|1763728800,1008,1,1,0.24,0.24000000,4032.78000000,4032.78,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251121|1763733600,1010,1,1,0.24,0.24000000,4063.97000000,4063.97,1.9990,1.9989816700610312,1.99898167,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251121|1763751600,1012,1,1,0.13,0.13000000,4050.42000000,4050.42,2.0006,2.0005858230814155,2.00058582,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251124|1763998500,1014,1,1,0.27,0.27000000,4086.03000000,4086.0299999999997,-1.0000,-0.9999999999999483,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251125|1764066900,1016,1,1,0.32,0.32000000,4120.42000000,4120.42,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251125|1764068100,1018,1,1,0.19,0.19000000,4147.64000000,4147.64,2.0008,2.0008291873962945,2.00082919,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251125|1764089100,1020,1,1,0.16,0.16000000,4154.08000000,4154.08,1.9993,1.9993079584775564,1.99930796,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251125|1764099000,1022,1,1,0.34,0.34000000,4138.73000000,4138.73,2.0000,2.0,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251126|1764164400,1024,1,1,0.4,0.40000000,4172.76000000,4172.76,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251126|1764165600,1026,1,1,0.49,0.49000000,4159.28000000,4159.28,1.9979,1.9979381443302267,1.99793814,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251126|1764187800,1028,1,1,0.68,0.68000000,4161.33000000,4161.33,1.9971,1.9971428571427947,1.99714286,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251126|1764192000,1030,1,1,0.9,0.90000000,4162.16000000,4162.16,2.0037,2.003717472119379,2.00371747,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251128|1764326400,1032,1,1,0.21,0.21000000,4154.69000000,4154.69,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251128|1764348900,1034,1,1,0.2,0.20000000,4201.45000000,4201.45,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251201|1764591000,1036,1,1,0.31,0.31000000,4262.57000000,4262.57,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251201|1764603600,1038,1,1,0.2,0.20000000,4228.87000000,4228.87,2.0008,2.000832639467053,2.00083264,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251202|1764675300,1040,1,1,0.19,0.19000000,4217.58000000,4217.58,2.0000,2.0,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251202|1764702600,1042,1,1,0.36,0.36000000,4184.81000000,4184.81,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251202|1764708300,1044,1,1,0.46,0.46000000,4201.50000000,4201.5,2.0000,1.9999999999998275,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251203|1764754200,1046,1,1,0.36,0.36000000,4199.34000000,4199.34,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251203|1764764400,1048,1,1,0.4,0.40000000,4197.15000000,4197.15,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251203|1764767400,1050,1,1,0.44,0.44000000,4214.21000000,4214.21,2.0000,1.9999999999998326,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251203|1764777600,1052,1,1,0.14,0.14000000,4240.86000000,4240.86,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251203|1764779700,1054,1,1,0.16,0.16000000,4197.80000000,4197.8,2.0000,1.9999999999999383,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251203|1764788100,1056,1,1,0.22,0.22000000,4195.39000000,4195.39,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251203|1764795300,1058,1,1,0.26,0.26000000,4195.05000000,4195.05,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251204|1764872100,1060,1,1,0.72,0.72000000,4209.46000000,4209.46,2.0000,1.9999999999997284,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251204|1764877800,1062,1,1,1.96,1.96000000,4213.94000000,4213.94,2.0000,2.0,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251204|1764878400,1064,1,1,0.47,0.47000000,4201.92000000,4201.92,2.0000,1.9999999999998257,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251205|1764931500,1066,1,1,0.67,0.67000000,4224.74000000,4224.74,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251205|1764957900,1068,1,1,0.06,0.06000000,4197.28000000,4197.28,0.1647,0.16467715680956788,0.16467716,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251205|1764976500,1070,1,1,0.44,0.44000000,4191.69000000,4191.69,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251208|1765180800,1072,1,1,0.56,0.56000000,4218.73000000,4218.73,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251208|1765182600,1074,1,1,0.98,0.98000000,4211.55000000,4211.55,2.0000,1.9999999999992695,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251208|1765214100,1076,1,1,0.14,0.14000000,4175.94000000,4175.94,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251209|1765268400,1078,1,1,0.52,0.52000000,4188.25000000,4188.25,2.0000,2.0000000000001923,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251209|1765293900,1080,1,1,0.36,0.36000000,4204.94000000,4204.94,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251209|1765297800,1082,1,1,0.31,0.31000000,4205.32000000,4205.32,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251209|1765299300,1084,1,1,0.16,0.16000000,4208.53000000,4208.53,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251210|1765361400,1086,1,1,0.46,0.46000000,4199.89000000,4199.89,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251210|1765380900,1088,1,1,0.34,0.34000000,4195.82000000,4195.82,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251210|1765391400,1090,1,1,0.65,0.65000000,4198.87000000,4198.87,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251210|1765400100,1092,1,1,0.15,0.15000000,4212.37000000,4212.37,0.3869,0.38693467336682325,0.38693467,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251210|1765401000,1094,1,1,0.31,0.31000000,4197.05000000,4197.05,2.0000,2.0,2.00000000,true,true,true
