variant,ticket,logical_position_id,entry_volume,exit_volume,volume_ok,weighted_exit_price,reported_exit_price,price_diff,price_ok,recomputed_r,reported_r,r_diff,r_ok,gross_money,commission,swap,net_money
D29_SR0,238,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1766368800|1766368800,0.6,0.6,True,4366.29,4366.29,0.0,True,-1.0,-1.0,0.0,True,-258.6,-1.2,0.0,-259.8
D29_SR0,240,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1766163600|1766163600,0.08,0.08,True,4331.66,4331.66,0.0,True,-0.514137,-0.5141371465713341,0.0,True,-126.56,-0.16,0.0,-126.72
D29_SR0,242,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1767027900|1767027900,0.17,0.17,True,4316.51,4316.51,0.0,True,-1.0,-1.0,0.0,True,-257.55,-0.34,0.0,-257.89
D29_SR0,244,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1767069900|1767069900,0.35,0.35,True,4365.39,4365.39,0.0,True,-1.0,-1.0,0.0,True,-254.1,-0.7,0.0,-254.8
D29_SR0,246,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1767103500|1767103500,0.12,0.12,True,4329.27,4329.27,0.0,True,2.0,2.0,0.0,True,504.0,-0.24,2.76,506.52
D29_SR0,248,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1767717000|1767717000,0.29,0.29,True,4477.55,4477.55,0.0,True,-0.347238,-0.3472378804960502,0.0,True,-89.32,-0.58,0.0,-89.9
D29_SR0,250,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1767004500|1767004500,0.17,0.17,True,4462.92,4462.92,0.0,True,-1.0,-1.0,0.0,True,-248.71,-0.34,-7.82,-256.87
D29_SR0,252,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1767978300|1767978300,0.31,0.31,True,4506.04,4506.04,0.0,True,-1.0,-1.0,0.0,True,-251.41,-0.62,0.0,-252.03
D29_SR0,254,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1769788800|1769788800,0.02,0.02,True,4759.77,4759.77,0.0,True,2.0,1.999999999999992,0.0,True,450.36,-0.04,0.0,450.32
D29_SR0,256,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1770608100|1770608100,0.12,0.12,True,5032.48,5032.48,0.0,True,2.0,2.000000000000043,0.0,True,507.36,-0.24,0.0,507.12
D29_SR0,258,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1770792000|1770792000,0.19,0.19,True,5049.26,5049.26,0.0,True,-1.0,-1.0,0.0,True,-249.66,-0.38,0.0,-250.04
D29_SR0,260,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1770797100|1770797100,0.5,0.5,True,5061.57,5061.57,0.0,True,-1.0,-1.0,0.0,True,-256.0,-1.0,0.0,-257.0
D29_SR0,262,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1770842100|1770842100,0.55,0.55,True,5087.39,5087.39,0.0,True,-1.0,-1.0,0.0,True,-257.95,-1.1,0.0,-259.05
D29_SR0,264,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1770853800|1770853800,0.07,0.07,True,4997.73,4997.73,0.0,True,2.0,2.0000000000000275,0.0,True,461.3,-0.14,0.0,461.16
D29_SR0,266,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1770926700|1770926700,0.12,0.12,True,4945.19,4945.19,0.0,True,0.848703,0.8487031700287531,0.0,True,212.04,-0.24,0.0,211.8
D29_SR0,268,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1770929400|1770929700,0.2,0.2,True,4919.13,4919.13,0.0,True,2.0,1.9999999999998603,0.0,True,521.2,-0.4,0.0,520.8
D29_SR0,270,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1770948300|1770948300,0.39,0.39,True,4928.88,4928.88,0.0,True,2.0,1.9999999999998614,0.0,True,511.68,-0.78,0.0,510.9
D29_SR0,272,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1771216500|1771216500,0.41,0.41,True,4996.18,4996.179999999999,0.0,True,-1.0,-1.0000000000001428,0.0,True,-261.17,-0.82,0.0,-261.99
D29_SR0,274,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1771606800|1771606800,0.18,0.18,True,5051.51,5051.51,0.0,True,2.0,2.0000000000000635,0.0,True,515.52,-0.36,0.0,515.16
D29_SR0,276,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1771605000|1771605000,0.47,0.47,True,5056.76,5056.76,0.0,True,-1.0,-1.0,0.0,True,-259.44,-0.94,0.0,-260.38
D29_SR0,278,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1773359100|1773359100,0.2,0.2,True,5090.47,5090.47,0.0,True,-1.0,-1.0,0.0,True,-251.8,-0.4,0.0,-252.2
D29_SR0,280,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1773409500|1773409500,0.11,0.11,True,5035.39,5035.39,0.0,True,2.0,2.0000000000000413,0.0,True,482.68,-0.22,0.0,482.46
D29_SR0,282,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1774849200|1774849200,0.33,0.33,True,4504.05,4504.05,0.0,True,-1.0,-1.0,0.0,True,-263.67,-0.66,0.0,-264.33
D29_SR0,284,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1775770800|1775770800,0.53,0.53,True,4782.5,4782.5,0.0,True,2.0,2.0000000000001856,0.0,True,519.4,-1.06,0.0,518.34
D29_SR0,286,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1775773800|1775773800,0.84,0.84,True,4769.08,4769.08,0.0,True,-1.0,-1.0,0.0,True,-263.76,-1.68,0.0,-265.44
D29_SR0,288,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1776242100|1776242100,0.82,0.82,True,4812.16,4812.16,0.0,True,-1.0,-1.0,0.0,True,-262.4,-1.64,0.0,-264.04
D29_SR0,290,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1776274200|1776274200,0.82,0.82,True,4816.33,4816.33,0.0,True,-1.0,-1.0,0.0,True,-260.76,-1.64,0.0,-262.4
D29_SR0,292,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1776367800|1776367800,0.49,0.49,True,4797.89,4797.89,0.0,True,2.0,2.0000000000001705,0.0,True,522.34,-0.98,0.0,521.36
