cluster_id;strategy_id;symbol;timeframe;direction;signal_time;fill_time;close_time;entry;stop;target;exit;exit_reason;r_result;mfe_r;mae_r;bars_held;session
MSZZC1|6:XAUUSD|1:5|2:-1|1:2|67:BO|XAUUSD|5|1|S|1752563700|MSZZ|XAUUSD|5|1|-1|1752504900|1752504900;1012;XAUUSD;PERIOD_M5;SHORT;2025.07.15 07:15:00;2025.07.15 07:20:00;2025.07.15 16:29:58;3359.79000000;3369.09000000;3341.19000000;3341.19000000;TP;2.0000;2.2774;-0.7108;109;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:2|66:BO|XAUUSD|5|1|L|1752633000|MSZZ|XAUUSD|5|1|1|1752620100|1752621600;1012;XAUUSD;PERIOD_M5;LONG;2025.07.16 02:30:00;2025.07.16 02:35:00;2025.07.16 03:50:00;3330.33000000;3323.42000000;3344.15000000;3330.31000000;OTHER;-0.0029;0.3531;-0.2026;15;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:2|67:BO|XAUUSD|5|1|S|1752637500|MSZZ|XAUUSD|5|1|-1|1752635400|1752636300;1012;XAUUSD;PERIOD_M5;SHORT;2025.07.16 03:45:00;2025.07.16 03:50:00;2025.07.16 03:54:58;3330.31000000;3331.86000000;3327.21000000;3331.86000000;SL;-1.0000;0.1935;-1.1226;0;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:2|67:BO|XAUUSD|5|1|S|1752638100|MSZZ|XAUUSD|5|1|-1|1752635400|1752636300;1012;XAUUSD;PERIOD_M5;SHORT;2025.07.16 03:55:00;2025.07.16 04:00:00;2025.07.16 04:14:58;3330.51000000;3331.86000000;3327.81000000;3331.86000000;SL;-1.0000;1.2074;-1.0148;2;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:2|67:BO|XAUUSD|5|1|S|1752642300|MSZZ|XAUUSD|5|1|-1|1752638700|1752639300;1012;XAUUSD;PERIOD_M5;SHORT;2025.07.16 05:05:00;2025.07.16 05:10:00;2025.07.16 06:49:57;3327.96000000;3334.95000000;3313.98000000;3334.95000000;SL;-1.0000;0.4092;-1.0157;19;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:2|66:BO|XAUUSD|5|1|L|1752654000|MSZZ|XAUUSD|5|1|1|1752651000|1752651000;1012;XAUUSD;PERIOD_M5;LONG;2025.07.16 08:20:00;2025.07.16 08:25:00;2025.07.16 14:25:00;3339.34000000;3325.10000000;3367.82000000;3334.02000000;OTHER;-0.3736;0.2591;-0.3897;72;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:2|67:BO|XAUUSD|5|1|S|1752675600|MSZZ|XAUUSD|5|1|-1|1752674100|1752674100;1012;XAUUSD;PERIOD_M5;SHORT;2025.07.16 14:20:00;2025.07.16 14:25:00;2025.07.16 14:44:58;3334.02000000;3338.26000000;3325.54000000;3338.26000000;SL;-1.0000;0.0000;-0.9953;3;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:2|67:BO|XAUUSD|5|1|S|1752678900|MSZZ|XAUUSD|5|1|-1|1752674100|1752674100;1012;XAUUSD;PERIOD_M5;SHORT;2025.07.16 15:15:00;2025.07.16 15:20:00;2025.07.16 16:54:58;3334.89000000;3340.94000000;3322.79000000;3322.79000000;TP;2.0000;2.1322;-0.7372;18;London
MSZZC1|6:XAUUSD|1:5|1:1|1:2|66:BO|XAUUSD|5|1|L|1752688500|MSZZ|XAUUSD|5|1|1|1752688200|1752688200;1012;XAUUSD;PERIOD_M5;LONG;2025.07.16 17:55:00;2025.07.16 18:00:00;2025.07.16 18:34:57;3338.12000000;3319.61000000;3375.14000000;3375.14000000;TP;2.0000;2.1270;-0.0432;6;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:2|67:BO|XAUUSD|5|1|S|1752749100|MSZZ|XAUUSD|5|1|-1|1752692100|1752692100;1012;XAUUSD;PERIOD_M5;SHORT;2025.07.17 10:45:00;2025.07.17 10:50:00;2025.07.18 05:15:00;3326.14000000;3370.20000000;3238.02000000;3343.45000000;OTHER;-0.3929;0.3695;-0.4049;221;London
